line	max
0	22.015285
1	22.015285
2	22.015285
3	22.015285
4	22.015285
5	22.10197
6	22.015285
7	21.417877
8	20.814028
9	20.850925
10	22.015285
11	21.367868
12	22.015285
13	22.10197
14	22.015285
15	22.015285
16	22.015285
17	20.337933
18	22.015285
19	22.10197
20	22.015285
21	22.015285
22	22.015285
23	22.015285
24	20.875465
25	22.10197
26	22.015285
27	21.592884
28	21.395538
29	22.10197
30	22.015285
31	22.015285
32	21.674353
33	22.015285
34	22.10197
35	21.523235
36	22.015285
37	22.015285
38	22.015285
39	22.015285
40	22.015285
41	22.015285
42	21.523235
43	20.539295
44	22.015285
45	21.208664
46	22.015285
47	21.674353
48	21.674353
49	21.674353
50	22.015285
51	22.015285
52	21.674353
53	22.015285
54	21.674353
55	21.674353
56	22.015285
57	21.674353
58	21.674353
59	20.513979
60	21.674353
61	22.015285
62	21.674353
63	22.015285
64	21.674353
65	22.015285
66	21.674353
67	22.015285
68	21.674353
69	22.015285
70	22.015285
71	21.395538
72	22.015285
73	22.015285
74	22.015285
75	22.10197
76	21.674353
77	21.674353
78	22.015285
79	22.015285
80	20.842947
81	22.015285
82	21.674353
83	21.674353
84	22.10197
85	22.015285
86	22.015285
87	22.015285
88	21.674353
89	22.015285
90	22.015285
91	22.015285
92	21.674353
93	22.015285
94	22.10197
95	21.372206
96	22.015285
97	21.674353
98	21.674353
99	21.674353
100	22.015285
101	21.340183
102	21.140827
103	20.875465
104	21.534164
105	20.400776
106	21.674353
107	21.674353
108	22.015285
109	21.674353
110	22.10197
111	20.757025
112	22.10197
113	21.674353
114	21.674353
115	21.674353
116	21.618536
117	21.674353
118	22.015285
119	22.015285
120	22.015285
121	20.724388
122	20.757025
123	21.523235
124	21.395538
125	20.724388
126	21.674353
127	22.015285
128	22.10197
129	21.674353
130	22.015285
131	21.674353
132	21.674353
133	20.400776
134	20.819714
135	21.377462
136	22.015285
137	22.015285
138	21.674353
139	21.674353
140	22.015285
141	21.12104
142	21.674353
143	22.015285
144	21.367868
145	22.015285
146	22.10197
147	22.015285
148	21.523235
149	20.196068
150	19.885044
151	21.392223
152	20.757025
153	22.015285
154	22.10197
155	22.015285
156	22.015285
157	21.534164
158	22.015285
159	21.674353
160	22.015285
161	20.196068
162	22.015285
163	21.340183
164	22.015285
165	22.015285
166	21.674353
167	21.523235
168	21.523235
169	20.724388
170	20.446218
171	22.015285
172	21.618536
173	21.523235
174	22.015285
175	22.10197
176	22.015285
177	20.672089
178	22.015285
179	21.523235
180	20.196068
181	20.196068
182	22.015285
183	21.15187
184	19.885044
185	21.523235
186	19.815073
187	19.885044
188	20.196068
189	21.674353
190	22.015285
191	22.015285
192	21.335724
193	22.015285
194	17.642355
195	19.885044
196	19.885044
197	22.015285
198	20.196068
199	20.95471
200	17.213684
201	20.95471
202	20.688967
203	20.688967
204	20.643267
205	20.196068
206	19.885044
207	20.157112
208	22.10197
209	22.10197
210	19.759434
211	20.539295
212	21.358463
213	21.372206
214	19.885044
215	19.321459
216	20.724388
217	20.332912
218	19.885044
219	19.885044
220	22.015285
221	20.724388
222	20.219116
223	22.10197
224	20.724388
225	20.724388
226	15.994506
227	15.994506
228	20.79079
229	19.375137
230	18.226345
231	21.372206
232	15.396993
233	20.724388
234	19.885044
235	20.724388
236	19.615057
237	22.10197
238	20.196068
239	20.400776
240	22.015285
241	20.098658
242	22.10197
243	17.870836
244	19.885044
245	20.724388
246	22.015285
247	20.474487
248	22.015285
249	19.321459
250	20.474487
251	19.885044
252	22.015285
253	21.06883
254	19.731321
255	17.098158
256	22.10197
257	19.885044
258	20.170012
259	20.612104
260	18.10037
261	15.338915
262	20.219116
263	20.957766
264	19.885044
265	22.015285
266	15.357257
267	20.850925
268	17.987259
269	20.672089
270	19.954613
271	22.015285
272	17.54431
273	19.885044
274	20.01015
275	22.015285
276	20.400776
277	19.885044
278	20.500763
279	17.591589
280	19.885044
281	20.724388
282	17.175674
283	15.563421
284	20.724388
285	19.375137
286	22.015285
287	15.563421
288	17.762466
289	22.015285
290	15.435132
291	22.015285
292	17.715027
293	21.372206
294	20.068195
295	15.563421
296	22.015285
297	19.885044
298	15.348318
299	19.375137
300	19.885044
301	15.79135
302	20.196068
303	15.53456
304	16.368698
305	19.375137
306	22.015285
307	17.030561
308	15.563421
309	15.042246
310	17.557034
311	20.219116
312	20.724388
313	14.74618
314	20.400776
315	17.715027
316	15.563421
317	17.048412
318	17.633825
319	15.752092
320	17.814472
321	20.400776
322	16.90242
323	16.63072
324	20.441639
325	20.763956
326	20.441639
327	17.193735
328	21.674353
329	20.672089
330	16.2322
331	20.602098
332	20.196068
333	15.053272
334	20.400776
335	13.175606
336	20.724388
337	15.568396
338	15.720485
339	15.670826
340	10.298112
341	15.563421
342	15.532839
343	19.885044
344	19.321459
345	19.321459
346	21.08594
347	13.175606
348	16.943241
349	13.441021
350	20.196068
351	22.015285
352	19.375137
353	15.126355
354	15.552825
355	16.506319
356	15.178253
357	15.255912
358	11.615643
359	20.400776
360	15.576663
361	17.14195
362	19.321459
363	17.264074
364	20.579657
365	12.861968
366	17.48786
367	15.670826
368	16.17434
369	19.389505
370	17.712292
371	19.885044
372	16.485134
373	12.387911
374	16.734451
375	17.510208
376	14.248959
377	16.734451
378	20.737381
379	17.413996
380	20.998814
381	19.885044
382	14.60922
383	14.404843
384	12.066155
385	21.674353
386	14.779601
387	20.724388
388	16.810244
389	14.963573
390	15.563421
391	15.563421
392	21.106318
393	17.447933
394	22.015285
395	13.821258
396	15.737845
397	13.273499
398	15.747031
399	14.682221
400	17.338919
401	13.032415
402	13.941127
403	10.290512
404	12.390419
405	12.4202385
406	15.737845
407	12.78283
408	12.530553
409	13.168337
410	20.196068
411	14.892452
412	15.737845
413	12.356768
414	19.375137
415	14.885337
416	15.737845
417	14.916491
418	17.599472
419	17.610138
420	17.532364
421	12.977338
422	15.642144
423	10.337843
424	11.003751
425	15.737845
426	15.176862
427	13.888701
428	11.193343
429	21.523235
430	20.400776
431	22.015285
432	17.213911
433	9.623527
434	9.555975
435	17.72509
436	12.597829
437	12.694804
438	14.530581
439	12.550357
440	12.334395
441	19.885044
442	14.637156
443	9.908983
444	13.143634
445	20.217142
446	14.79702
447	14.79702
448	14.79702
449	8.569647
450	11.579285
451	11.058132
452	11.947756
453	11.776859
454	20.724388
455	16.956408
456	15.150392
457	14.699986
458	15.274129
459	8.72939
460	14.248959
461	8.718652
462	15.102694
463	9.6745825
464	8.336774
465	11.596107
466	10.657716
467	12.856941
468	12.651825
469	12.578515
470	7.5821013
471	7.1254582
472	15.0310545
473	11.023987
474	20.724388
475	9.206043
476	10.111327
477	20.724388
478	8.985469
479	8.742474
480	9.473113
481	12.205162
482	22.015285
483	8.593589
484	7.7929487
485	8.17568
486	8.423531
487	9.726809
488	11.171103
489	20.724388
490	6.38055
