line	min
0	1.70859985
1	1.46315
2	1.18281795
3	1.1574457
4	1.24154315
5	1.5229021
6	1.60127685
7	1.53523655
8	1.60911755
9	1.46641275
10	1.7311708499999998
11	1.8689862
12	1.44845105
13	1.5950709
14	1.6181044
15	1.48054865
16	1.48054865
17	1.4894462499999999
18	1.6132922
19	1.8733568
20	1.77116015
21	1.5069284
22	1.61802265
23	1.8703379999999998
24	1.8703379999999998
25	1.9703328999999998
26	2.3300734
27	2.3416708
28	1.9777631500000001
29	1.9195521500000001
30	2.1718675000000003
31	2.4102093
32	2.5561795
33	2.3760487
34	2.7335119
35	2.93736395
36	2.779832
37	3.3908877
38	4.39055615
39	3.7478298499999996
40	3.22305345
41	3.2422192
42	3.23070835
43	3.8662925
44	4.09366775
45	4.043806
46	3.3225884
47	2.7761724
48	4.03739615
49	4.50707185
50	3.5167332
51	3.291137
52	3.34525775
53	3.15407875
54	2.908779
55	3.4739644
56	6.1715734
