line	max
0	16.9302
1	16.695463
2	17.246546
3	17.569551
4	17.543808
5	18.465084
6	17.446974
7	17.543808
8	16.46781
9	18.239727
10	16.10717
11	14.815382
12	16.849064
13	17.009062
14	16.097082
15	17.986837
16	17.551743
17	16.947794
18	18.380575
19	18.380575
20	17.305107
21	16.28586
22	15.605072
23	18.239727
24	17.828241
25	17.56955
26	17.229301
27	16.125898
28	17.080128
29	18.68919
30	15.401226
31	14.891064
32	17.216648
33	16.078436
34	15.172637
35	18.007275
36	15.751682
37	16.339485
38	16.728245
39	17.102343
40	16.292465
41	14.171528
42	16.534628
43	14.106545
44	14.300659
45	16.689457
46	16.47428
47	15.562372
48	15.294122
49	15.029852
50	13.315248
51	14.950085
52	14.67166
53	15.9148855
54	16.078436
55	13.326992
56	15.725082
57	14.414396
58	14.247013
59	17.551743
60	17.551743
61	16.361483
62	16.24069
63	14.207525
64	17.287653
65	16.078865
66	14.004782
67	15.333428
68	16.050943
69	12.0856085
70	15.251058
71	14.342706
72	12.136326
73	15.256824
74	16.608484
75	11.69827
76	12.316653
77	14.392781
78	12.8152485
79	18.07196
80	18.239727
81	12.719519
82	12.960671
83	11.004962
84	12.716533
85	15.450644
86	13.106048
87	12.745814
88	12.974488
89	12.517469
90	12.107368
91	11.692958
92	11.412541
93	13.729598
94	11.435277
95	13.378989
96	15.268585
97	13.175689
98	14.62496
99	11.346077
100	13.35462
101	10.240915
102	9.705234
103	13.344732
104	13.019256
105	11.521101
106	11.232608
107	11.46139
108	14.356918
109	11.462387
110	13.353093
111	10.584011
112	12.952241
113	10.589819
114	11.308891
115	10.132661
116	11.002027
117	13.886114
118	11.446483
119	12.043374
120	11.858736
121	10.712439
122	11.748304
123	10.593153
124	11.11159
125	10.270543
126	13.159417
127	10.586431
128	13.365924
129	10.353679
130	9.293095
131	15.295369
132	9.565027
133	11.509201
134	9.524171
135	9.354461
136	14.149281
137	11.198757
138	9.822996
139	12.188906
140	14.221952
141	9.518742
142	10.204068
143	11.722643
144	8.12774
145	10.011757
146	12.578627
147	12.816764
148	10.316245
149	13.017003
