line	lower
0	3.0188578921513596
1	3.081208397204339
2	3.047225361794898
3	2.9835192026226767
4	2.9778943559787647
5	2.990316710686777
6	3.0153174097252804
7	3.0254567687427203
8	2.994718212878553
9	2.950720545372455
10	2.875730023042815
11	2.8343012157804006
12	2.8275468414995886
13	2.790204287890122
14	2.7294179844914357
15	2.679175920826955
16	2.6159564071163492
17	2.607156485183464
18	2.6254712637037394
19	2.6301756635407907
20	2.634558714066012
21	2.4736219030443243
22	2.4069378564248587
23	2.3933655125381095
24	2.4154760788928
25	2.565217681525573
26	2.7605523710073747
27	2.7651145625139897
28	2.765152120623413
29	2.6512663028269343
30	2.544534883915297
31	2.8008873528324014
32	2.5795179685583074
33	2.6097564833953673
34	2.7262473211879437
35	2.8285225821061415
36	3.6545177754024802
37	3.627053943122455
38	3.7844134437790853
39	3.5364694719918903
40	3.2148943959359695
41	3.7146073707148703
42	3.7510267913767015
43	4.134607110155572
44	3.698504091764187
45	3.4522451398461778
46	3.7870544378645707
47	3.5593424782149548
48	3.816806544738163
49	3.8488696217551532
50	3.3880397408359526
51	3.232421648400116
52	3.229503341906973
53	3.619413479042188
54	4.83937391526432
