line	average
0	7.254281341294295
1	7.132865631391773
2	7.03540553487246
3	6.96716738081526
4	6.933371909626095
5	6.927007618996454
6	6.922465630396109
7	6.9137660468578135
8	6.914434224005461
9	6.9047213448901825
10	6.898921695566953
11	6.896859802144418
12	6.912854284930295
13	6.9115142103839515
14	6.909838797430109
15	6.88797345364206
16	6.873107178602481
17	6.857901798238977
18	6.858447040622266
19	6.850056211222918
20	6.860552386546556
21	6.860476453766422
22	6.8723917869588504
23	6.864358229867165
24	6.861698001074258
25	6.8574901321554576
26	6.8468319212114555
27	6.854674486775449
28	6.844533627911785
29	6.845285377184884
30	6.841066888827468
31	6.840792404976455
32	6.8390153568566685
33	6.849713573278817
34	6.8391416173807755
35	6.825330431002049
36	6.839243766741943
37	6.807894349828501
38	6.814728221431876
39	6.817460294986866
40	6.83240504954041
41	6.819306489602029
42	6.823421301217119
43	6.817769303749773
44	6.813305033161422
45	6.825069362068838
46	6.815092484163175
47	6.814201778185939
48	6.824703118387833
49	6.8412928494174325
50	6.827005295805321
51	6.831806387829215
52	6.841328834923813
53	6.828648213299486
54	6.806956741001647
55	6.7919518480412435
56	6.798134101836387
57	6.7967918996772925
58	6.785500624045463
59	6.8137311533540785
60	6.845712900934757
61	6.871974953106225
62	6.868104514202356
63	6.904282138906082
64	6.911158802077533
65	6.903979863865608
66	6.896664942284633
67	6.894330688816477
68	6.88643691279442
69	6.855773507704273
70	6.846023050048586
71	6.856158865520031
72	6.867233632597342
73	6.878191978804514
74	6.899781245432929
75	6.920312098321203
76	6.907730803745295
77	6.9215861380785295
78	6.906512744887401
79	6.930132098518833
80	6.9429391108859
81	6.958281207079596
82	7.0021368839888805
83	7.016557652537688
84	7.030065961487148
85	7.030460103411426
86	7.05709112075896
87	7.057180983244281
88	7.040468046646192
89	7.062740369508333
90	7.085443939362382
91	7.07144326399612
92	7.020204365095857
93	7.0513929912039615
94	7.012622124663705
95	6.999135054167906
96	6.996903755063774
97	7.005417727948
98	6.982049559400707
99	6.966117552445164
100	6.973842620757213
101	6.997162637974678
102	7.007966945453232
103	7.015093144666354
104	7.027838699352704
105	7.01763412242897
106	6.99625059300673
107	6.9943205461723394
108	7.00101672897826
109	7.0226188690562115
110	7.034082215071431
111	7.014704968430637
112	7.0303041171663265
113	7.050187180577015
114	7.062299217435481
115	7.041078454641327
116	7.079012523520359
117	7.076071724437523
118	7.045700778166198
119	7.023740510129255
120	7.047431607697424
121	7.056423668946539
122	7.073280571470728
123	7.132144150159458
124	7.139158718598091
125	7.152226968141287
126	7.129288840620179
127	7.146338267451966
128	7.114461277850802
129	7.094287692429096
130	7.08204159654441
131	7.09756013415898
132	7.109360134271178
133	7.154793575420018
134	7.203479199029827
135	7.208242843100147
136	7.2331645832260945
137	7.2012771598234675
138	7.180173530002665
139	7.165408650421313
140	7.166274508816852
141	7.143957144564899
142	7.158996085868513
143	7.1418063209226075
144	7.137346821591936
145	7.159554406535965
146	7.143742201913986
147	7.128616433894126
148	7.1079246213042655
149	7.104716858406585
150	7.112405447801853
151	7.130790429750341
152	7.143413457874251
153	7.161611246186314
154	7.206545745891416
155	7.172455509627747
156	7.158416085437859
157	7.138139241733029
158	7.171467148579893
159	7.163777578373429
160	7.213194438052928
161	7.216344063399006
162	7.259621317485696
163	7.305240231937864
164	7.331541425564905
165	7.3451518897461785
166	7.403915173076331
167	7.420603422338672
168	7.381739887564988
169	7.363551957432544
170	7.352990699598919
171	7.327618828644049
172	7.301939922452687
173	7.294662667916329
174	7.314261610273547
175	7.281270277527506
176	7.312078329116862
177	7.308524646339618
178	7.336219072690717
179	7.3059639835544745
180	7.332204268380136
181	7.332871573936889
182	7.358935040009792
183	7.3074280219581
184	7.3524462314746755
185	7.378043555941756
186	7.38675464945037
187	7.376707206667099
188	7.43300320475751
189	7.3924572303118765
190	7.376499858051924
191	7.331715376036381
192	7.338198919217868
193	7.335435333519989
194	7.399631931261633
195	7.407741518635551
196	7.413790293618627
197	7.44786757992308
198	7.450671945710167
199	7.429471538924804
200	7.362534692582406
201	7.403078091322158
202	7.3548271994483345
203	7.3871745349432105
204	7.350150503499559
205	7.467874181312814
206	7.42467772534579
207	7.523113485233243
208	7.4884872072755595
209	7.511114325015884
210	7.453934791512054
211	7.482668422162158
212	7.438656422884565
213	7.444995009516822
214	7.473109066887609
215	7.4719158157259855
216	7.508879059684228
217	7.534866885386452
218	7.601163303207412
219	7.6564570672602175
220	7.660181582755813
221	7.618082111473408
222	7.543157205776161
223	7.445389388967962
224	7.36485947456479
225	7.413923612916632
226	7.416294205504966
227	7.457957095040699
228	7.507883065851027
229	7.601679740137901
230	7.599666928839665
231	7.666724326583747
232	7.662458420754651
233	7.6492111375835234
234	7.583784696710843
235	7.610771726441408
236	7.624535403502418
237	7.668565610225746
238	7.719373037573673
239	7.7676984806033005
240	7.828448358505815
241	7.765550611743666
242	7.779621466809621
