line	min
0	1.7070522
1	1.7101475
2	1.2161525
3	1.1494834
4	1.165408
5	1.3176783
6	1.7281259
7	1.4744278
8	1.5960453
9	1.6221898
10	1.3106357
11	2.151706
12	1.5862664
13	1.3106357
14	1.8795061
15	1.3567027
16	1.6043946
17	1.3567027
18	1.6221898
19	1.6043946
20	2.142319
21	1.4000013
22	1.6138555
23	1.6221898
24	2.1184862
25	1.6221898
26	2.318476
27	2.3416708
28	2.3416708
29	1.6138555
30	2.2252488
31	2.1184862
32	2.7019324
33	2.4104266
34	2.3416708
35	3.125353
36	2.7493749
37	2.8102891
38	3.9714863
39	4.809626
40	2.6860337
41	3.7600732
42	2.7243652
43	3.7370515
44	3.9955335
45	4.191802
46	3.89581
47	2.7493668
48	2.802978
49	5.2718143
50	3.7423294
51	3.291137
52	3.291137
53	3.3993785
54	2.908779
55	2.908779
56	4.0391498
57	8.303997
