line	lower
0	3.002445610992336
1	3.1181776642969545
2	3.0731914666778812
3	3.002574126233623
4	2.9553273582874255
5	2.9804256093295223
6	2.9973132652003867
7	3.0449717357037613
8	3.018743908639367
9	2.9862942789185567
10	2.9111841127299525
11	2.845336074770555
12	2.8048545791751636
13	2.822062673754735
14	2.797149799193028
15	2.705491766385268
16	2.607026684944986
17	2.589732166056372
18	2.634134466782399
19	2.6338855568876474
20	2.6259856935109074
21	2.6262684712331024
22	2.431668652569845
23	2.3362351473997376
24	2.3043947581403716
25	2.5487407056977367
26	2.642708419370798
27	2.8258176253587575
28	2.770579402968625
29	2.8153199578281902
30	2.496993661796877
31	2.531711387227167
32	2.818226379247276
33	2.7196555121366877
34	2.583955794436971
35	2.4321913450345565
36	3.150232530644388
37	4.1126705681461715
38	3.7850312903496524
39	3.7067124939318155
40	2.992834792763601
41	3.5631245052308578
42	3.6919565262640326
43	3.99278891977823
44	4.219118411723071
45	3.541653466629947
46	3.2935809908900016
47	3.529385356723562
48	4.033569593657428
49	4.02773533981926
50	3.3760012360774447
51	3.300981706884892
52	3.254389731873365
53	3.2019136333550198
54	3.6844995536857588
55	5.443584729370497
