line	lower
0	4.024214264356967
1	4.138333049426133
2	4.190662991271122
3	4.209838493781177
4	4.210893683696179
5	4.157543087428243
6	4.217032451248435
7	4.193488866946248
8	4.204800284254864
9	4.224378893245753
10	4.230098819081961
11	4.234761091789439
12	4.251067717600723
13	4.172899943696462
14	4.290161189370902
15	4.199210489379192
16	4.240009211617061
17	4.240881202859011
18	4.171039196461608
19	4.185333488964405
20	4.263939284490234
21	4.200907639218988
22	4.217948270680816
23	4.177828299466802
24	4.2226071910743626
25	4.199774182484815
26	4.253157297451521
27	4.217623667511775
28	4.188353578022941
29	4.182682837979307
30	4.184108501050561
31	4.176622838655444
32	4.205225803338584
33	4.177570686027716
34	4.168862231087656
35	4.136097824738496
36	4.206033026187745
37	4.206427962350941
38	4.20454904446994
39	4.101978416567319
40	4.179693162111921
41	4.126948736532882
42	4.1719489242426615
43	4.172229553603023
44	4.169323881520905
45	4.108439215290236
46	4.1132736667372924
47	4.06211633499424
48	4.100086630137674
49	4.099396435317667
50	4.182031876134916
51	4.116926821975004
52	4.129019546407916
53	4.141352940924952
54	4.126231454819698
55	4.072211783504755
56	4.073234964116365
57	4.1274044281796805
58	4.101862244323534
59	4.094849388970264
60	4.175167375987256
61	4.054095669720588
62	4.049932668157875
63	4.172494484069796
64	4.097574377022015
65	4.130942803903322
66	4.217633756096646
67	4.177846528759604
68	4.2243278789404215
69	4.205598706861835
70	4.131880930340614
71	4.105359800978855
72	4.0923433081284735
73	4.079503891330059
74	4.044186657581822
75	4.063016260514553
76	4.1114809344135725
77	4.193544700624147
78	4.1136857779518365
79	4.061324055300787
80	4.072185008164503
81	4.068304811753103
82	4.114655283218031
83	4.129512921665358
84	4.0962937771568
85	4.196667214026904
86	4.197048519332034
87	4.161729280477807
88	4.132927100278159
89	4.076340123507176
90	4.183172742136439
91	4.174677231826038
92	4.1812895006254385
93	4.201827984112802
94	4.160470701540218
95	4.125904155122868
96	4.147056394027706
97	4.2883974888744145
98	4.161390493273115
99	4.242796167726448
100	4.199079323072205
101	4.103508650560842
102	4.107341947595946
103	4.135596783459695
104	4.198501966042815
105	4.283048130101802
106	4.253958179007778
107	4.206530918860998
108	4.2425918287583855
109	4.158877480199226
110	4.1719386633058635
111	4.119911567223673
112	4.16163361628994
113	4.232803304098571
114	4.21199154043631
115	4.232458124850352
116	4.286002671656364
117	4.247793927125537
118	4.273584551641177
119	4.043339565298519
120	4.183205622487479
121	4.27421407803012
122	4.141078084391349
123	4.269407781588722
124	4.186659890462198
125	4.252724395970523
126	4.216699672518561
127	4.154587104093466
128	4.1549076195222465
129	4.225151297571108
130	4.263008043466695
131	4.359883344100368
132	4.268206956253584
133	4.141717399717877
134	4.297683215223303
135	4.183529028158636
136	4.340234478416384
137	4.121114475669137
138	4.162022817460473
139	4.196016808816903
140	4.240809216526138
141	4.164141383938071
142	4.252776673967747
143	4.223467278535059
144	4.140934201033234
145	4.077545768374822
146	4.097760100653648
147	4.183954779284551
148	4.165897983240811
149	4.3368907966111445
150	4.174441120923417
151	4.139407338829118
152	4.271179272949704
153	4.276404156127478
154	4.303443266782745
155	4.271799500528683
156	4.313309836724055
157	4.262867394248522
158	4.3383649502865405
159	4.2528420222657815
160	4.230235959462554
161	4.242426606796144
162	4.133249202622518
163	4.243130181131917
164	4.236493472650911
165	4.107530721392241
166	4.310890005243749
167	4.3740713414472765
168	4.336106443042548
169	4.341268305406407
170	4.340869678152622
171	4.400571847324278
172	4.267283909553017
173	4.185385786738211
174	4.279426848314468
175	4.319376212330878
176	4.406014245912996
177	4.328345715046526
178	4.231337138764795
179	4.216005094948267
180	4.37525632358876
181	4.319292666214004
182	4.262103058059683
183	4.240941852937938
184	4.547151413271106
185	4.189036517349493
186	4.309782959088584
187	4.267149691423482
188	4.503365075945576
189	4.387132919924277
190	4.3782208985908575
191	4.264882725281312
192	4.374789019304143
193	4.4021719939461725
194	4.551700832711139
195	4.4913933600077325
196	4.529067330635199
197	4.318866072771021
198	4.434823713063889
199	4.365564750355675
