line	upper
0	10.353774186082273
1	10.084277001662976
2	9.873616928259889
3	9.736575445010462
4	9.669992144537398
5	9.6545665213682
6	9.63097139783677
7	9.610026502651973
8	9.599847086816373
9	9.586801396697496
10	9.562045638826012
11	9.564099517921493
12	9.595038859527723
13	9.594396013383378
14	9.59141733692266
15	9.568652189427864
16	9.525973880326498
17	9.503383434079105
18	9.509060505281322
19	9.490921025881585
20	9.50445863610687
21	9.51713979094769
22	9.53052052568604
23	9.514518332136475
24	9.50709281883943
25	9.506661951620845
26	9.488478666019688
27	9.519470688906893
28	9.501668544014205
29	9.505328620959444
30	9.499655765622945
31	9.508708933183332
32	9.499272799437296
33	9.52042880047912
34	9.493889216994594
35	9.47964360714121
36	9.498751211146315
37	9.451869235250403
38	9.472432786078809
39	9.48436083136217
40	9.500781247478537
41	9.488834916966118
42	9.499799554155416
43	9.510462077070407
44	9.515962120586773
45	9.553476267642257
46	9.518803979661993
47	9.516291936659979
48	9.523913974781033
49	9.548840174682773
50	9.514898063558148
51	9.546464266131967
52	9.574247531892889
53	9.549209312289882
54	9.51372450701449
55	9.489991134263567
56	9.481764523357354
57	9.48290797791832
58	9.475819778659023
59	9.518154389327
60	9.581572886878007
61	9.64294190563773
62	9.602493410554782
63	9.649265887841889
64	9.652652535210665
65	9.61668979281885
66	9.601872324369442
67	9.61965860845669
68	9.620971700538801
69	9.58860968788058
70	9.601391182425207
71	9.635435747333307
72	9.656361054800989
73	9.658037468716197
74	9.694379624648672
75	9.732013850881428
76	9.705017512199621
77	9.741363405398184
78	9.72699450249715
79	9.771067781017308
80	9.789687861380244
81	9.795475612595151
82	9.857438224897935
83	9.876864962543596
84	9.903198744719955
85	9.907977759298436
86	9.963938688371597
87	9.968592670843439
88	9.931254753617733
89	9.962019222575089
90	9.990600246676577
91	9.974052613346768
92	9.87709898310591
93	9.918054637672322
94	9.848600402759743
95	9.8051611685309
96	9.78606353673277
97	9.811801031194594
98	9.801275802355704
99	9.774570530407301
100	9.798879507368127
101	9.828725780397136
102	9.820244489664859
103	9.814659093838088
104	9.818751194151051
105	9.806266937472305
106	9.785721771987008
107	9.808671000675051
108	9.831042826801106
109	9.876204811888966
110	9.888508691871987
111	9.837650306281507
112	9.835630382866348
113	9.858164447520604
114	9.874232271729014
115	9.865521141168264
116	9.951239779398904
117	9.94771589995848
118	9.908317175962669
119	9.865231993899272
120	9.883950124002878
121	9.888030491804496
122	9.933247177955185
123	10.048272531392223
124	10.085201700682783
125	10.103639918347392
126	10.055706933805942
127	10.061169053153154
128	9.974691103518802
129	9.936981976636265
130	9.897983401336454
131	9.944916279627204
132	9.9724460529884
