line	lower
0	2.720898575714574
1	3.1052591887837124
2	3.1811790684787224
3	3.068094735628429
4	2.970300595926492
5	2.9693270471459483
6	2.9263544317898376
7	3.04559534905278
8	3.019990014758543
9	3.069329843299962
10	2.966911867859596
11	2.9226411255961127
12	2.8439993447341494
13	2.769367753981404
14	2.8011966388099383
15	2.8956236284728627
16	2.694629130296282
17	2.5262225403866587
18	2.600228384152016
19	2.6427455736304406
20	2.65942944256474
21	2.5994816544677617
22	2.619045983500221
23	2.660277775731324
24	2.01568219847799
25	2.332745467989899
26	2.564756607953226
27	2.7487200411500843
28	2.614648609009082
29	3.114084225917105
30	2.583005373979687
31	2.7488702735877784
32	2.159105337823166
33	2.687158550270556
34	3.608415249648105
35	1.8633927364914014
36	2.2800593971714065
37	3.153121901440862
38	4.017516293320895
39	5.167373509676758
40	2.170204068051304
41	3.7825599040673827
42	3.025740406172116
43	3.8810732054530748
44	4.1690559671669085
45	3.9282375867147072
46	4.560061681287598
47	2.1366611318875335
48	3.1840201594948727
49	5.267474778788278
50	3.649213842689134
51	3.1665173979803676
52	3.312272467562832
53	3.4241552551114762
54	3.0267414729457873
55	3.154844172007797
56	4.871913016103692
57	8.303997
