line	average
0	7.472498662185361
1	7.295777533554318
2	7.173748549668203
3	7.051591491631616
4	6.974251194675672
5	6.925309146130774
6	6.881531907113034
7	6.918664486552293
8	6.951192087084602
9	6.94698549660071
10	6.892205215784172
11	6.8614533911364095
12	6.896052731633216
13	6.9124107659883345
14	6.927331639736298
15	6.927036689192523
16	6.8980894117352465
17	6.88851401288275
18	6.853558874133602
19	6.83550259266723
20	6.851857550684818
21	6.86143906678471
22	6.868900045342601
23	6.858822238944326
24	6.861553199025995
25	6.881456051715556
26	6.871143507036564
27	6.842165580631115
28	6.841651994665058
29	6.824387999368989
30	6.874416938265535
31	6.865397773787391
32	6.818692806654701
33	6.832985146954265
34	6.813155568847918
35	6.869288108338535
36	6.8877006945432955
37	6.8190084579649675
38	6.772027291262347
39	6.813410942250838
40	6.825697905404662
41	6.826411831268126
42	6.842923320860879
43	6.816219361533678
44	6.818026428788749
45	6.80323853459644
46	6.822568866637485
47	6.817632650721632
48	6.834469507331342
49	6.8224950562931355
50	6.776069574889192
51	6.84659545219913
52	6.885360328800365
53	6.840224950875062
54	6.798778902322592
55	6.811878422685419
56	6.838700015874808
57	6.799430093994953
58	6.7484840377294555
59	6.776722304409441
60	6.823978551775543
61	6.807116321397498
62	6.841778228186916
63	6.89901472995269
64	6.92233180378981
65	6.879957584944544
66	6.88788428589714
67	6.949413947874856
68	6.898259042351503
69	6.886097154307559
70	6.855834647321718
71	6.8623142121716105
72	6.8530209950943455
73	6.797224385486915
74	6.887060548846952
75	6.908861103693608
76	6.917396995382819
77	6.934390027183313
78	6.902524684278639
79	6.906934444627867
80	6.912046203086925
81	6.914351848238083
82	6.955754928284069
83	6.993590599274889
84	6.977307216029775
85	7.0600406358443735
86	7.060042961883316
87	7.0255776220297355
88	7.028346726459232
89	7.044870114209306
90	7.12684283542651
91	7.018485276601396
92	7.039476087689867
93	7.140786458249708
94	7.066627350428774
95	6.9637438997602
96	6.968359594620997
97	7.020520486609483
98	7.010141615659567
99	7.02733142642895
100	6.979450584210435
101	6.931224105463331
102	6.922270047852395
103	6.989624269050833
104	7.104944140252734
105	7.064761395950482
106	6.976050372192521
107	6.971949432601074
108	6.995976713457377
109	7.025973874387796
110	7.006477455308902
111	6.98796571212135
112	7.042695239810751
113	7.078640428690299
114	7.006189122823864
115	6.9970322105461475
116	7.0766712424872935
117	7.122682990483634
118	7.0558686138510796
119	7.047972388036061
120	7.084515385036639
121	6.9933918791018925
122	6.991854954712963
123	7.060195687679146
124	7.129680285079273
125	7.149137794469894
126	7.182693082134188
127	7.15655032253137
128	7.110402732633718
129	7.1050055901344935
130	7.134416042746594
131	7.1456241752107434
132	7.026423884974195
133	7.029353529367739
134	7.113186694459202
135	7.202712387063514
136	7.288707778363341
137	7.261721546870821
138	7.16297669856806
139	7.1874001549498665
140	7.185298178871813
141	7.15623014530477
142	7.172050273365436
143	7.1282291456035285
144	7.133771390308835
145	7.167102121500967
146	7.150853086199038
147	7.117927112673989
148	7.17259935963692
149	7.149759841113962
150	7.089757189896372
151	7.061309134674735
152	7.058178173955135
153	7.183801425880892
154	7.2149437694733525
155	7.167277215077367
156	7.138361175764671
157	7.216008893998046
158	7.210912084484474
159	7.0946196183394585
160	7.081486545340573
161	7.170988833619754
162	7.280104735599043
163	7.315230308167063
164	7.226035830903401
165	7.1975537439224935
166	7.393229254966901
167	7.459905005797062
168	7.415009452687847
169	7.406970199681968
170	7.386182575403732
171	7.337791041188543
172	7.317276343531742
173	7.343136482772673
174	7.317137377710727
175	7.2585556325381475
176	7.255400639369244
177	7.348080563083899
178	7.309655506800615
179	7.311679174819014
180	7.326691554568428
181	7.3157524983038815
182	7.341678906121041
183	7.299618496024162
184	7.3789481507750505
185	7.393518483642568
186	7.252143618356909
187	7.32545688478325
188	7.4761573309833
189	7.4647191957142836
190	7.390177610455929
191	7.3677650066247615
192	7.364831943895192
193	7.334898964219333
194	7.312864560025547
195	7.294425263370787
196	7.377064900333778
197	7.518414474004609
198	7.5156644270082404
199	7.348260465918031
200	7.394740416589609
201	7.469269030562627
202	7.472424371508919
203	7.29532129418884
204	7.282276846911415
205	7.375471683754428
206	7.429510139615261
207	7.460732631636981
208	7.497070410112848
209	7.468594901526991
210	7.5135699435555
211	7.589033844439685
212	7.430734731093581
213	7.410689370704085
214	7.39748014439268
215	7.4753740219867755
216	7.494850312826342
217	7.516866341101194
218	7.477991386226995
219	7.486905126384228
220	7.632751696137943
221	7.7255609216343
222	7.820841795785605
223	7.625537085097999
224	7.390967736917206
225	7.340190753688812
226	7.293829115370684
227	7.375097467757179
228	7.5468726449696755
229	7.519554564267642
230	7.450274458998978
231	7.52280126623584
232	7.734404080500185
233	7.77633230244127
234	7.682166030382257
235	7.6072531887864425
236	7.47901829373528
237	7.537719770390668
238	7.680233774585981
239	7.784042797361193
240	7.751737898247285
241	7.716112378913416
242	7.785551946334559
243	7.952922076916337
244	7.778673125212105
245	7.6296706690067975
246	7.644941220349182
247	7.764084883421019
248	7.793067917759753
249	7.658805463731802
250	7.7089157633448036
251	7.736591221189119
252	7.493266542365589
253	7.36311196852459
254	7.399872594357924
255	7.515694679722225
256	7.766118562525252
257	7.8684338704545445
258	7.7408911181553925
259	7.442351580087211
260	7.5581942602170695
261	7.645663392076823
262	7.751047223734755
263	7.945995369823114
264	7.917167555456077
265	7.688444602385413
266	7.562817751851136
267	7.574404963687262
268	7.6222127117969105
269	7.4499033506666645
270	7.439621454333332
271	7.52785889875839
272	7.566157145731178
273	7.855113546455547
274	7.940334386823186
275	8.002262437195501
276	8.060571586336557
277	7.830388628019944
278	7.735822678243885
279	7.961354621705423
280	7.802602340476188
