line	min
0	2.2324035
1	2.34773575
2	2.4976157
3	2.4820330999999998
4	2.4154522
5	2.5762522
6	2.49295315
7	2.2929637
8	2.24116085
9	2.5721388000000003
10	2.564735
11	2.4005976
12	2.7881399
13	2.78385195
14	2.40816045
15	2.26213645
16	2.62394165
17	2.8094627
18	2.54016245
19	2.3877816000000003
20	2.46239135
21	2.6045911
22	2.5978166
23	2.58938325
24	2.4023149
25	2.2104005
26	2.07092055
27	2.09592835
28	2.5069308
29	2.4116063
30	2.17114805
31	2.26647255
32	2.40926845
33	2.59404145
34	2.4504036
35	2.35626945
36	2.59424335
37	2.63336815
38	2.5844260500000003
39	2.69655775
40	2.4863471
41	2.4105389500000003
42	2.36965875
43	2.20357155
44	2.3620252500000003
45	2.2719246
46	2.1347359
47	2.1282839
48	2.0646246
49	2.10705305
50	2.13161075
51	2.0891823
52	2.3195
53	2.4493379500000003
54	2.2531301
55	2.354949
56	2.3433557499999997
57	2.1591706
58	2.1813748
59	2.3634453
60	2.3934009
61	2.1638587
62	2.1401433499999998
63	2.18761505
64	2.1638587
65	2.0536870499999997
66	2.2690326
67	2.29870365
68	2.0833581
69	2.1659365
70	2.10655695
71	2.16864405
72	2.01631445
73	1.81138935
74	1.9915291000000002
75	2.0133142
76	1.9931212
77	2.1120963
78	2.0923553
79	2.06625885
80	2.3531078
81	2.4282852
82	2.5323717500000003
83	2.4162698000000002
84	1.9863195999999999
85	1.9125804
86	1.9459157500000002
87	2.22494955
88	2.3524423
89	2.2531399
90	2.12923335
91	2.02324115
92	2.3178853
93	2.3849063
94	2.27561105
95	2.4381335
96	2.29481175
97	1.9877751
98	2.1560477
99	2.5380468499999997
100	2.5494068
101	2.43005195
102	2.2167610499999997
103	2.0866473
104	2.19934675
105	2.24052835
106	2.42096045
107	2.47441055
108	2.59457825
109	2.6469284
110	2.5593301999999998
111	2.6219573
112	2.7169508
113	2.5193255
114	2.2365207
115	2.426091
116	2.4009007
117	2.2113304
118	2.3150827
119	2.49639385
120	2.59456685
121	2.4132557
122	2.2754953
123	2.2754953
124	2.37138355
125	2.37138355
126	2.2113304
127	2.2113304
128	2.5120567
129	2.7040664000000003
130	2.4285304
131	2.2365207
132	2.19968435
133	2.22636125
134	2.2859448
135	2.2282737
136	2.1803362
137	2.2777586999999997
138	2.4426305
139	2.48798895
140	2.38639795
141	2.6180190999999997
142	2.6211665999999996
143	2.3256962
144	2.26752805
145	2.2376641
146	2.5389734500000003
147	2.843845
148	2.6618812
149	2.3451449
150	2.3036225999999997
151	2.4004106
152	2.3545673999999996
153	2.3179989
154	2.344187
155	2.344187
156	2.50603975
157	2.4421554
158	2.4375678499999998
159	2.5014522
160	2.4308242499999997
161	2.30694135
162	2.2190866
163	2.2190866
164	2.4287970000000003
165	2.4542587
166	2.1473446
167	2.21229115
168	2.2898463500000004
169	2.3221035
170	2.2790851500000002
171	2.2164183
172	2.14652385
173	2.1870957
174	2.25699015
175	2.46549115
176	2.8279155
177	2.57884265
178	2.59837595
179	3.04189635
180	2.7005105499999997
181	2.28739985
182	2.50245695
183	2.6556385999999996
184	2.43041935
185	2.2772377
186	2.49590085
187	2.7284054500000003
188	2.5687839500000003
189	2.33627935
190	2.4864414999999997
191	2.88173215
192	3.0240763
193	2.6368808
194	2.28533285
195	2.49590085
196	2.431953
197	2.21328985
198	2.246828
199	2.46549115
200	2.7003125
201	2.4512396499999998
202	2.1908317999999998
203	2.2212415
204	2.2772377
205	2.50245695
206	2.50245695
207	2.50245695
208	2.7467256
209	2.8631025
210	2.58842415
211	2.46549115
212	2.8474488
213	3.04189635
214	3.04189635
215	3.2399446999999997
216	3.2451949
217	2.9855837999999997
218	3.25951815
219	3.4945037
220	3.42919405
221	3.5503534
222	3.4949498500000002
223	3.32728675
224	2.81726745
225	2.50245695
226	3.0525992
227	3.5073205
228	2.95717825
229	2.50245695
230	2.9955876
231	3.1219162999999996
232	3.3631428
233	3.368393
234	3.1878431000000003
235	3.30242375
236	3.3154755
237	3.6038513500000002
238	3.7104787999999997
239	3.56012605
240	3.57955675
241	3.68359285
242	3.03305995
243	2.9935838
244	3.66786145
245	3.5623537499999998
246	3.20765965
247	3.36347
248	3.5864692
249	3.56366935
250	3.7099005
251	3.0689525
252	3.0025031
253	3.6120758000000004
254	3.48484935
255	3.27800965
256	3.482713
257	3.7939652500000003
258	3.5942879000000003
259	3.55894465
260	3.65648
261	3.58232855
262	3.6655208000000004
263	3.6832831
264	3.7417730000000002
265	3.6980477499999997
266	3.7760751
267	3.92808125
268	3.7244985
269	3.6807735
270	3.6351862500000003
271	3.6377968000000003
272	3.75902665
273	3.51175895
274	3.35116985
275	3.5495634000000003
276	3.7939107
277	3.94019675
278	3.8993097
279	3.743707
280	3.7631339
281	3.7989403
282	3.8316869000000002
283	3.7577812
284	3.676311
285	3.7064396000000004
286	3.7089772
287	3.8568648
288	3.9790022499999997
289	3.9914393500000003
290	3.9743471
291	3.5900531
292	3.6464355
293	4.044086999999999
294	3.7445190999999998
295	2.9336827000000003
296	2.9528962500000002
297	3.64388705
298	3.6348369
299	3.6381045
300	3.62357365
301	3.72341525
302	3.6947388500000002
303	3.6550468499999997
304	3.8779181
305	3.81240065
306	3.93614215
307	3.9137611999999997
308	3.7981238499999996
309	3.88943465
310	4.0524775
311	4.2645143
312	4.3120528
313	4.2260507
314	4.0754187
315	4.1105437
316	4.0899236000000005
317	4.003278249999999
318	4.04323635
319	4.105271500000001
320	4.31758985
321	4.0214087
322	3.8453385000000004
323	4.12719165
324	4.06420155
325	4.0585457
326	4.238729
327	4.2142527
328	3.87718885
329	3.94161885
330	4.2355027
331	3.9622686000000003
332	3.93888275
333	3.9075954999999998
334	3.67249225
335	3.80469255
336	4.16013195
337	4.26154715
338	3.6866358
339	3.67565155
340	4.04018975
341	4.1829994
342	4.2201044
343	4.142492
344	4.1715160000000004
345	4.092253250000001
346	4.0323062499999995
347	4.0421868
348	3.8677028
349	3.79976865
350	3.97607265
351	4.146240499999999
352	4.192772
353	3.9551431
354	3.455803
355	3.7496271
356	3.8946836000000005
357	3.6155719
358	3.81206745
359	4.0495186
360	4.296707400000001
361	4.22359225
362	4.377572000000001
363	4.2990112
364	4.01233005
365	4.00319005
366	4.1653025
367	4.2981023
368	4.3809415000000005
369	4.2757570000000005
370	4.207261300000001
371	4.13643645
372	3.7388599
373	3.88980295
374	3.9790630499999997
375	3.78193555
376	3.86829745
377	3.94843325
378	3.7304422500000003
379	3.67228545
380	3.84208765
381	3.7756696
382	3.97199645
383	4.1426528000000005
384	3.78912915
385	3.5557485499999997
386	3.7154370500000002
387	3.8223789999999997
388	3.9355607
389	4.10092285
390	4.1220680000000005
391	4.5094848
392	4.6601021
393	4.1414923
394	4.2577125
