line	lower
0	3.009146432906386
1	3.058832127192661
2	3.023051175793886
3	2.995934431908698
4	2.98631348773472
5	3.0061193372094137
6	3.0056363013521437
7	3.0048936401133988
8	2.964574439249673
9	2.914449987094245
10	2.8608233461962396
11	2.8465656983188934
12	2.8009632992589273
13	2.7374079383894294
14	2.7035800644235515
15	2.6718898513876517
16	2.6246510142060275
17	2.6056215190403234
18	2.624186207663036
19	2.6361960859788978
20	2.5107834109484073
21	2.445446616033439
22	2.438501606730532
23	2.4644364182605045
24	2.4553105849160564
25	2.6749909904038796
26	2.725042971601837
27	2.7618657047287476
28	2.6439427640633637
29	2.658444752315659
30	2.7573109570618586
31	2.6133884295642016
32	2.519626254280927
33	2.718429567004466
34	2.984501115614534
35	3.2962927676202645
36	3.3576550339322453
37	3.6581551353114405
38	3.6326788362576914
39	3.605390218684127
40	3.405726710182157
41	3.757333413914838
42	3.9128337693588806
43	3.7350179145019644
44	3.595607305310324
45	3.815291067634598
46	3.7594863188294836
47	3.4807774621680374
48	3.7158997293030973
49	3.7639267484264183
50	3.3157800872579193
51	3.216906153121652
52	3.5579852767463165
53	4.556330183233751
