line	upper
0	10.86372366747917
1	10.427057046760009
2	10.147246356810257
3	9.892816894524552
4	9.764284003789133
5	9.663330522923207
6	9.557803155128727
7	9.63818439750403
8	9.687794585418894
9	9.666732137037563
10	9.551980476132643
11	9.479992377577739
12	9.580121632617839
13	9.593290965442986
14	9.609977440097548
15	9.634463527886918
16	9.555733616232457
17	9.571067826105189
18	9.528931405554198
19	9.44636879860714
20	9.471291639515023
21	9.513450178619518
22	9.539911805611391
23	9.517426732618068
24	9.511915711272401
25	9.536446363462945
26	9.50689653159148
27	9.481342538494872
28	9.497785781328991
29	9.465380329223045
30	9.568468206678068
31	9.53987122657777
32	9.445987368626252
33	9.492753835350843
34	9.473831109782761
35	9.567510791213948
36	9.569170894817248
37	9.432528412519495
38	9.390790852006065
39	9.485986095162058
40	9.498074861486923
41	9.50337483214848
42	9.513757402798916
43	9.461662005505392
44	9.497171309171929
45	9.495620628179118
46	9.557442732409204
47	9.554163818877306
48	9.569197481935014
49	9.50427595685998
50	9.402659800723423
51	9.570217720206802
52	9.635534413934295
53	9.5466577038778
54	9.498336185482959
55	9.551033471560281
56	9.577080335601593
57	9.484226851738299
58	9.398612258812012
59	9.418436226340122
60	9.533325580697165
61	9.562218473855765
62	9.572342880259995
63	9.662995029359474
64	9.73040501711695
65	9.585626889889102
66	9.578028429366157
67	9.6977406918997
68	9.581554791801878
69	9.603454490013894
70	9.593048928983702
71	9.625776869789558
72	9.620118390459425
73	9.53260349651789
74	9.720519638645715
75	9.730473609923155
76	9.682281173246778
77	9.715164815078634
78	9.717544451930966
79	9.747114357523088
80	9.753847496215046
81	9.7372236489906
82	9.789425754126443
83	9.8742778491387
84	9.808133936467698
85	9.923223405009278
86	9.940697023861713
87	9.90382705368149
88	9.952059841025797
89	9.959983795596806
90	10.074760683871784
91	9.858987186977053
92	9.887393433010615
93	10.100423573672906
94	9.990067272526007
95	9.791007524945112
96	9.718992247790936
97	9.8161469821452
98	9.818189900819352
99	9.833725107458573
100	9.807607181604347
101	9.757022911848269
102	9.723070730176971
103	9.812199163350412
104	9.969113232433159
105	9.861019637346175
106	9.721856195450652
107	9.719337491392455
108	9.79121877243595
109	9.886539677023048
110	9.867029795353037
111	9.835158832485895
112	9.888172019427246
113	9.934883435113157
114	9.790153413004397
115	9.734834022838937
116	9.886444185583638
117	9.984676741583911
118	9.953275169232311
119	9.982672182179122
120	9.940320919814479
121	9.779137676993052
122	9.77846697643589
123	9.892357539332833
124	10.039668426942185
125	10.063563554695246
126	10.179742775962362
127	10.158353283254884
128	10.030776006720759
129	9.965931509750085
130	9.957386391709655
131	9.97720320024451
132	9.847885591962658
133	9.839006751264888
134	9.985767267227434
135	10.143543020839516
136	10.346741079683921
137	10.381874447176838
138	10.14693358399743
139	10.15638729722821
140	10.16812105751152
141	10.10400126165663
142	10.105978570479468
143	10.07425755142291
144	10.158302795913642
145	10.2465513084877
146	10.160848732428978
147	10.060927844085297
148	10.093804329347863
149	10.043853723460645
150	10.022590149916477
151	9.917324963460059
152	9.842564633371676
153	10.077679140306675
154	10.142266155290992
155	10.041999761528364
156	9.988633736043052
157	10.13140161572856
158	10.126220682692788
159	9.94770024581475
160	9.926641807551796
161	10.154139762530177
162	10.372019779320869
163	10.390648789442714
164	10.280059564785226
165	10.185897124526992
166	10.443977836588289
167	10.564721119349212
168	10.491331531151216
169	10.472871407584423
170	10.401644388069013
171	10.34165420393844
172	10.40821783891787
173	10.453866648019007
174	10.334873225098782
175	10.154416035954357
176	10.143621298258726
177	10.416319699262138
178	10.395639896744697
179	10.327727640369513
180	10.306108614235473
181	10.340807134470918
182	10.431835356743271
183	10.205190358943803
184	10.389802336239802
185	10.537627229066098
186	10.215820911457783
187	10.265656385881972
188	10.507065664031673
189	10.546761482171
190	10.458803408975772
191	10.415694140956797
192	10.341183381165227
193	10.19286151511001
194	10.10418202369166
195	10.078620181420108
196	10.330163098964446
197	10.659984055091762
198	10.6311346223067
199	10.32317094231546
200	10.461784375503878
201	10.622428856286952
202	10.529356111708822
203	10.194285366544149
204	10.11323930197209
205	10.251311969180627
206	10.343692402068465
207	10.37679097343312
208	10.551256339156996
209	10.489314223752654
210	10.453080016173079
211	10.622738388202434
212	10.386082033520182
213	10.291249164226322
214	10.265370423846946
215	10.456064717690182
