line	min
0	2.36297048
1	2.42712562
2	2.5005099599999996
3	2.4852125800000002
4	2.41864916
5	2.38886368
6	2.4813238
7	2.3842568
8	2.4443815800000004
9	2.58232728
10	2.66145802
11	2.51673594
12	2.5404185999999997
13	2.6060735599999996
14	2.54894772
15	2.50859776
16	2.54079618
17	2.5886997199999997
18	2.53305596
19	2.50404128
20	2.5527442799999998
21	2.5098545999999997
22	2.4519479399999997
23	2.29638638
24	2.25119264
25	2.2634054000000003
26	2.2549092
27	2.2477044200000003
28	2.33313
29	2.37304046
30	2.36797426
31	2.3885593800000002
32	2.44202282
33	2.5196677000000003
34	2.5316627
35	2.51582154
36	2.63012436
37	2.5678526000000006
38	2.5566426
39	2.4623688400000003
40	2.4043008
41	2.3285558400000004
42	2.3185318
43	2.21823462
44	2.22198186
45	2.16265584
46	2.11999298
47	2.1065303
48	2.10177154
49	2.1830167400000002
50	2.25565688
51	2.24144756
52	2.3449921799999998
53	2.34311694
54	2.2808604199999998
55	2.23593168
56	2.3249865
57	2.25131244
58	2.25318768
59	2.2437015399999996
60	2.2556837799999996
61	2.1638669
62	2.1197982399999997
63	2.2059364599999998
64	2.18322236
65	2.1642336799999997
66	2.18405348
67	2.18538164
68	2.14389806
69	2.07242596
70	2.03511056
71	2.002663
72	1.9978134599999997
73	1.93245386
74	2.0361262
75	2.04484024
76	2.0660181
77	2.18075768
78	2.2400837
79	2.34886786
80	2.3696495000000004
81	2.31689216
82	2.19343854
83	2.12394438
84	2.0704696599999997
85	2.0984133799999998
86	2.1771977799999997
87	2.18507456
88	2.20812794
89	2.22224886
90	2.22111354
91	2.2312373200000004
92	2.3446736
93	2.3398655600000002
94	2.2126295199999997
95	2.2483221199999996
96	2.31760384
97	2.29283144
98	2.37169992
99	2.38442582
100	2.34393976
101	2.24894578
102	2.22038838
103	2.2453091799999996
104	2.3234481799999998
105	2.4484815600000003
106	2.50248084
107	2.5760023
108	2.58287958
109	2.6730184
110	2.5527784799999997
111	2.50885532
112	2.4994828
113	2.4204326800000002
114	2.29723464
115	2.3387355600000004
116	2.4011839000000004
117	2.4061259
118	2.4061259
119	2.4317918599999997
120	2.39029094
121	2.38178774
122	2.30101762
123	2.3010176199999997
124	2.27535166
125	2.3956421800000003
126	2.4084247999999997
127	2.41850092
128	2.41850092
129	2.4138425
130	2.30422274
131	2.24659386
132	2.2241200599999997
133	2.22412006
134	2.2553498
135	2.31062776
136	2.33616746
137	2.37387746
138	2.5112406199999997
139	2.5112406199999997
140	2.4644669
141	2.42305626
142	2.4049733599999996
143	2.391438
144	2.49404472
145	2.525912
146	2.52509146
147	2.5522953999999998
148	2.46966632
149	2.35658436
150	2.3321134
151	2.3562012
152	2.3483391599999996
153	2.39845286
154	2.38337436
155	2.44628044
156	2.44628044
157	2.48093534
158	2.36664108
159	2.3917078199999997
160	2.27924858
161	2.36264574
162	2.28862236
163	2.29880704
164	2.28590418
165	2.3271109400000003
166	2.24322678
167	2.2570415200000005
168	2.27085626
169	2.2307346
170	2.2297559999999996
171	2.20468926
172	2.3043184000000005
173	2.4492881399999997
174	2.47724592
175	2.6138002399999998
176	2.7912084
177	2.707808
178	2.57500214
179	2.67725372
180	2.5979072
181	2.43266292
182	2.42859806
183	2.5160633199999998
184	2.5189774600000003
185	2.48132146
186	2.48132146
187	2.56500298
188	2.63565398
189	2.6832713200000002
190	2.66289272
191	2.66289272
192	2.66667646
193	2.48298106
194	2.34236188
195	2.32695994
196	2.4144252
197	2.4087246
198	2.42213986
199	2.3997413800000005
200	2.41190526
201	2.32444
202	2.3327630400000006
203	2.3449269200000002
204	2.4574131
205	2.5551205599999998
206	2.69175902
207	2.5895074399999998
208	2.6769727
209	2.72750418
210	2.7950410000000003
211	2.7990217200000003
212	3.0556492200000003
213	3.11090322
214	3.11090322
215	3.19795194
216	3.2919461599999997
217	3.2736516800000004
218	3.4140095599999993
219	3.4773981000000007
220	3.4411169999999998
221	3.2065036
222	3.07042216
223	3.00740192
224	3.07537042
225	2.85935852
226	2.9494462199999996
227	3.0566107799999997
228	2.9771730599999997
229	2.9989397
230	3.14165896
231	3.2730941600000003
232	3.26439342
233	3.3505178399999997
234	3.36067684
235	3.4873521600000004
236	3.50959002
237	3.59820536
