line	average
0	4.051634391365591
1	4.424948694004964
2	4.449594450054606
3	4.490031535892047
4	4.592659090376824
5	4.716891957666792
6	4.757282543909539
7	4.729756034250562
8	4.747455423899323
9	4.704826703430259
10	4.657975660936102
11	4.697362656071614
12	4.733142269348273
13	4.760822545435547
14	4.672156940492217
15	4.766005955083749
16	4.871365373224981
17	4.967843654414835
18	4.998171111422413
19	4.817899019047618
20	4.736022118353176
21	4.879085386105555
22	5.089124691892591
23	5.143825144454295
24	5.3379719375324335
25	5.423530735183718
26	5.329061916851697
27	5.688505903242966
28	5.744993732779256
29	5.762668127232143
30	5.759314903273809
31	5.7689095493055556
32	5.920737360947712
33	5.581861958597284
34	6.052385075174825
35	6.6520506386363625
36	7.141793549999999
37	6.269203341666667
38	5.645620666666667
39	5.63567097
40	4.7980734575
41	4.2159919125
42	4.1686144875
43	4.9130169625
44	4.9712472375
45	5.4800333375
46	5.274767083333334
47	4.3670458666666665
48	4.924855933333333
49	4.7084481333333335
50	3.7816193999999994
51	3.4776466666666668
52	3.4236348166666666
53	3.398058483333333
54	3.5363937833333337
55	5.32151175
56	7.593189133333334
