line	average
0	4.18023674185631
1	4.437214948427132
2	4.472501504873947
3	4.549021879341704
4	4.650699843282071
5	4.7271892180200314
6	4.742097805864563
7	4.747564862175053
8	4.707127245545043
9	4.699711279965413
10	4.673732066993236
11	4.7185883239107556
12	4.7422966566595335
13	4.701784513524491
14	4.764205780483183
15	4.775479732050781
16	4.961330256431595
17	4.930256502943224
18	4.925686020313354
19	4.77570881223545
20	4.846295536768783
21	4.9565259274654325
22	5.118164220836196
23	5.262450295083351
24	5.34110158303028
25	5.3859414766816185
26	5.574790893503969
27	5.6002501417453106
28	5.863861700424266
29	5.647456141765873
30	5.879805578108464
31	5.752835630909586
32	5.761503614990782
33	5.941819314822432
34	6.249045800116549
35	6.981773709090908
36	6.393591311111112
37	6.310820394444445
38	5.389509591111111
39	5.330067138333334
40	4.436423755
41	4.352029483333333
42	4.513052758333333
43	4.855533033333334
44	5.387331991666667
45	5.096699780555556
46	4.984531077777778
47	4.726581511111111
48	4.606985111111111
49	4.3362972
50	3.642178933333333
51	3.479754988888889
52	3.3864716555555554
53	3.5189197333333335
54	4.651722944444445
55	6.3156735
