line	min
0	3.5711626599999997
1	3.77119994
2	4.28112328
3	4.36622296
4	4.67245364
5	4.84052372
6	5.18012648
7	5.22147558
8	5.07180798
9	5.31427178
10	4.8061441799999995
11	4.2021879
12	4.208420599999999
13	4.62452786
14	4.53823992
15	4.8010449600000005
16	5.139313680000001
17	4.59215528
18	4.3262415
19	3.8966786399999997
20	4.1360022
21	3.9304055600000005
22	3.8377701599999994
23	3.5437031599999997
24	3.657836519999999
25	3.8782526399999995
26	4.000023959999999
27	4.17699646
28	4.98906148
29	4.959265220000001
30	5.2353203
31	5.7866411
32	6.456977
33	6.4357652000000005
34	7.2083271799999995
35	6.99070126
36	6.889677459999999
37	7.057189399999999
38	6.803253499999999
39	6.677076940000001
40	6.953787919999999
41	6.851102180000001
42	6.806027639999999
43	6.90688898
44	7.00558166
45	6.7542918
46	7.1164501
47	7.0470747000000005
48	7.32137676
49	6.5420163
50	6.04334202
51	5.515094739999999
52	5.1070372
53	4.346232
54	5.290791060000001
55	6.000835820000001
56	6.57686884
57	7.14015938
58	7.8813021800000005
59	7.831787780000001
60	7.845197019999999
61	7.94302012
62	7.454673420000001
63	7.369967560000001
64	7.433666959999999
65	6.556171379999999
66	5.7540703
67	6.0103126
68	5.61035972
69	5.5256266
70	6.081181000000001
71	6.86177768
72	6.62043228
73	7.10478134
74	7.22802066
75	7.46589144
76	7.62589984
77	8.10180044
78	8.20070312
79	8.00700052
80	8.2793802
81	8.1136142
82	8.1880014
83	8.0801049
84	8.3576079
85	8.3449663
86	8.4492857
87	8.5624021
88	8.751648600000001
89	8.8127116
90	8.7180566
91	8.672073999999999
92	8.6984254
93	8.8651942
94	8.7828564
95	8.785618
96	8.59754396
97	8.39981436
98	8.13591836
99	8.15661516
100	8.35586156
101	8.8869832
102	8.83549194
103	9.17678014
104	9.494022339999999
105	9.320523340000001
106	9.17869634
107	9.5278214
108	9.5468206
109	9.322230000000001
110	9.2889118
111	9.187309599999999
112	8.945351599999999
113	8.8077194
114	8.6896614
115	9.1237572
116	9.566398000000001
117	9.946995000000001
118	10.050740199999998
119	10.305909
120	10.215592
121	9.7671112
122	9.8641136
123	9.6535008
124	9.385943399999999
125	9.2942326
126	9.3742794
127	8.955015499999998
128	9.0577669
129	9.4968839
130	9.478064100000001
131	9.3240725
132	9.2514736
133	9.2505566
134	8.8452224
135	8.922466400000001
136	9.6639492
137	9.9087932
138	10.091755199999998
139	10.673820799999998
140	10.349175
141	9.916989999999998
142	10.528967
143	11.051506199999999
144	10.7702266
145	11.748079200000001
