line	lower
0	4.117736768351407
1	4.179611511492811
2	4.203798389582826
3	4.1927584216352
4	4.195156407457619
5	4.189354801874308
6	4.205107200816516
7	4.207556014815622
8	4.219759332194193
9	4.229746268039051
10	4.238642542824041
11	4.219576251028875
12	4.238042950222696
13	4.220757207482186
14	4.243126963455719
15	4.226700301285088
16	4.217309870312561
17	4.1990846294283415
18	4.206770656638748
19	4.216726804224542
20	4.227598398130013
21	4.198894736455535
22	4.206127920407327
23	4.20006989100866
24	4.225179557003567
25	4.2235183824827045
26	4.219711514328746
27	4.196220027838008
28	4.18504830568427
29	4.181138059228437
30	4.188652381014863
31	4.186473109340581
32	4.183886240151319
33	4.160843580617956
34	4.170331027337966
35	4.182852937759061
36	4.2056700110028755
37	4.1709851411294
38	4.162073541049726
39	4.136206771737374
40	4.159530274295822
41	4.157042404792855
42	4.171167453122196
43	4.149997550138054
44	4.130345587849478
45	4.094609739007256
46	4.091825543956403
47	4.08719980014986
48	4.127171647196753
49	4.132785044475862
50	4.142659414839279
51	4.12909976976929
52	4.132201314050855
53	4.113265393083135
54	4.090559400813606
55	4.0909503919336
56	4.1008338788731935
57	4.108038687157826
58	4.123959669760351
59	4.108037478226035
60	4.09306523795524
61	4.092174273982753
62	4.106667176416562
63	4.133670554998377
64	4.148716979007328
65	4.175474362919857
66	4.206602721265557
67	4.202591038187287
68	4.187269172047624
69	4.147613146060435
70	4.1098613464826474
71	4.0924023334791295
72	4.0720112856801185
73	4.0622356031421445
74	4.072894617503316
75	4.122680631850757
76	4.139570470996519
77	4.122851511292257
78	4.0823982804723755
79	4.0672712917394644
80	4.085048367711879
81	4.104157672212165
82	4.113487327346729
83	4.140824637616355
84	4.1633365035052465
85	4.185148337945582
86	4.163901633362667
87	4.123665501421048
88	4.130813321973925
89	4.144730032489885
90	4.179713158195972
91	4.1859315721880925
92	4.18119606209282
93	4.162734280258629
94	4.144477083563597
95	4.18711934600833
96	4.198948125391746
97	4.230861383291326
98	4.2010886613572564
99	4.181794713786498
100	4.136643307076331
101	4.115482460538828
102	4.147146899032818
103	4.20571562653477
104	4.245169425050798
105	4.247845742656859
106	4.234360308875721
107	4.202666742606204
108	4.191135990754492
109	4.150242570242921
110	4.151161282273159
111	4.1714494958707276
112	4.202142820274941
113	4.225750989795078
114	4.243484112314342
115	4.255418241210751
116	4.269127050141026
117	4.188239348021744
118	4.166709913142392
119	4.16691975527204
120	4.1994992616363165
121	4.228233314670064
122	4.199048585480757
123	4.236264022673814
124	4.218694652983761
125	4.2080037241941834
126	4.175398132044758
127	4.178215340395607
128	4.214355653520017
129	4.282680895046057
130	4.29703278127355
131	4.25660256669061
132	4.2358691903982555
133	4.207643214366605
134	4.273815573932775
135	4.21495932741472
136	4.207790590515331
137	4.159718033982171
138	4.199616280934505
139	4.200322469760371
140	4.219242424810652
141	4.213461778813626
142	4.20572605117868
143	4.147315749314372
144	4.105413356687235
145	4.119753549437674
146	4.149204287726337
147	4.228914519712169
148	4.225743300258458
149	4.21691308545456
150	4.19500924423408
151	4.228996922635433
152	4.283675565286642
153	4.283882307812969
154	4.296184201345161
155	4.28265891050042
156	4.30484739375304
157	4.284691455600281
158	4.273814310671625
159	4.241834862841493
160	4.201970589627073
161	4.20626866351686
162	4.204290952135115
163	4.195718125058356
164	4.218304733095633
165	4.264164022694422
166	4.340355929911191
167	4.35048202996541
168	4.339414808867192
169	4.3609032769611025
170	4.336241811676639
171	4.284413847871835
172	4.244032181535232
173	4.2613962824611855
174	4.334939102186114
175	4.3512453910968
176	4.321899033241439
177	4.258562649586529
178	4.274199519100607
179	4.303518028250344
180	4.318884015954149
181	4.274112525737208
182	4.350065441422909
183	4.325709927852846
184	4.348656963236394
185	4.255323055953853
186	4.360099242152547
187	4.385882562431111
188	4.42290629815357
189	4.3434121812654825
190	4.339297547725438
191	4.347281246177209
192	4.442887281987151
193	4.481755395555015
194	4.524053841118023
195	4.446442254471317
196	4.427585705490036
197	4.373084845396861
198	4.393841230701696
199	4.340319221902118
200	4.33778454612071
201	4.368414316427728
202	4.383558388892838
203	4.458551107769353
204	4.439650900238981
205	4.537864877988371
206	4.501890832232383
207	4.5000335998153504
208	4.4569226336585634
209	4.519623987213403
210	4.531885846730722
211	4.537965220123837
212	4.5025989842266725
213	4.520805596298156
214	4.51546291597093
215	4.44125722014343
216	4.456785480445314
217	4.379815070604646
218	4.379056574532292
219	4.438591826636252
220	4.543221835679982
221	4.629364676957824
222	4.531018701458024
223	4.512195577545936
224	4.522316778414845
225	4.573590541818533
226	4.490813353431486
227	4.490653148521083
228	4.526185531042895
229	4.574920907528798
230	4.7145376410113355
231	4.750551096681668
232	4.850616993656815
233	4.7957738444064635
234	4.772269709531876
235	4.733845129539355
236	4.580060461860911
237	4.596525854262166
238	4.521281839448122
239	4.585474573017254
240	4.527636303773062
241	4.713107758298017
242	4.776902717855082
243	4.780350195688975
244	4.65613925448645
245	4.68450406836499
246	4.6894102323718725
247	4.743391164334736
248	4.635642362725325
249	4.691292717238709
250	4.587351412633814
251	4.54633148108896
252	4.4153586564870135
253	4.444746622735072
254	4.506031410622048
255	4.677926126048049
256	4.724320578439876
257	4.69323281338034
258	4.604061143060162
259	4.733559666570015
260	4.744549372507284
261	4.757041738894408
262	4.700851118850786
263	4.734028334344379
264	4.707700816302425
265	4.584122077309019
266	4.547976529997777
267	4.430076381521506
268	4.405835484595518
269	4.468173453609841
270	4.608077988145766
271	4.679548622429583
272	4.75294688336531
273	4.69698297561123
274	4.725055217126566
275	4.698171798098472
276	4.719946589784287
277	4.838476142045789
278	4.818492839495241
279	4.832267700270916
280	4.648023754951569
281	4.70029341814472
282	4.615749297049212
283	4.554798518847593
284	4.437791956423813
285	4.579077594789653
286	4.686756444720263
287	4.593027539466002
288	4.727554905953732
289	4.767636441117321
290	4.868943026969909
291	4.685657983906551
292	4.634692835447797
293	4.699866526172688
294	4.513329486548907
295	4.446236903144893
296	4.404216381037901
297	4.54371064338294
298	4.6390591801591015
299	4.696750377586082
300	4.706744886558547
301	4.7079389972184975
302	4.626481343784757
303	4.590496749661814
304	4.514500839532331
305	4.685485657616391
306	4.772933838674381
307	4.82052022754328
308	4.717568467496654
309	4.749897478360545
310	4.840335297180842
311	4.925395770194451
312	4.85496005332366
313	4.759572919414739
314	4.698718213247748
315	4.835418425301564
316	4.877689317973186
317	4.92745888357315
318	4.983273755370688
319	5.027594653996119
320	4.834631094050361
321	4.837281195231113
322	4.7196582109711835
323	4.888541520741163
324	4.652230555979989
325	4.844255844521191
326	4.631410371220334
327	4.565999788454692
328	4.455095056813116
329	4.525228080759869
330	4.55719801357825
331	4.517172938180056
332	4.522978861274942
333	4.657247093748878
334	4.612466915387797
335	4.817499893651641
336	4.697017506450618
337	4.925861451709671
338	4.863919272510098
339	4.884513396703784
340	4.74363398281927
341	4.562775606252733
342	4.606762988518095
343	4.624372094630554
344	4.453226512848415
345	4.723068776261162
346	4.51815748126337
347	4.669666796981879
348	4.371028420997814
349	4.312924863195536
350	4.221126648460626
351	4.240517387223753
352	4.510600246568537
353	4.469515756512327
354	4.620155819781558
355	4.410894922046285
356	4.562216102128892
357	4.64708802714177
358	4.880360882584639
359	5.001664614002238
360	4.699098248848989
361	4.639700919370226
362	4.644669640397507
363	4.623519055440107
364	4.699568016754985
365	4.606822862254592
366	4.883082218299856
367	4.787693931374885
368	5.030758145324128
369	5.004370883274608
370	5.183335740574504
371	5.006893730728814
372	4.920900580592428
373	4.556180571097454
374	4.483047460193842
375	4.795087589465244
376	4.9359743690935
377	4.806633680523912
378	4.360643061384613
379	4.276653804071149
380	4.350217885479083
381	4.330509506302718
382	4.662740967470795
383	4.289780676605765
384	4.137594514946048
385	4.0625653058004225
386	4.33782218507512
387	4.549050948217629
388	4.3587495312047055
389	4.375392790422404
390	4.6258998305356895
391	4.661502672234003
392	4.687412827273292
393	4.6371815119300885
394	4.570775894373125
395	4.7249261118497135
396	4.469129706679274
397	4.626023420922816
398	4.808788401765891
399	5.265376143296498
400	5.3498489494369394
401	5.477178649493322
402	5.093994571935288
403	5.256755578579518
404	4.914378696127314
405	5.2890246418449935
406	4.867051419176309
407	4.979698399726572
408	4.3094527365570094
409	4.215763204697144
410	4.053816027997521
411	4.334037396853129
412	4.0349589584209795
413	4.341566388112018
414	4.564314527116296
415	5.191247093537078
416	5.174054797315546
417	4.8026105427245325
418	4.407053927178158
419	3.890263805981931
420	4.46281183815429
421	4.728100292335935
422	4.843409383077367
423	4.182148332140078
424	4.556674682431496
425	4.850889936198046
426	5.187366816006265
427	5.164125092247117
428	5.420840888257904
429	4.661474616051567
430	3.934342445747913
431	4.291240450818572
432	5.0473579039059615
433	5.545237424366981
434	5.251502439294846
435	6.383413804559093
436	6.476503489981355
437	6.9997721426668456
438	6.3764156065107285
439	6.332155614830718
440	5.308320914315927
441	4.734586635538538
442	5.048889574592411
443	6.670236872653895
444	7.299106848714163
445	7.2744167779689475
446	5.754133698545364
447	5.215580414616824
448	4.6784989772618895
449	4.617744415089483
450	4.167173120468389
451	3.7579251583557163
452	3.369422226169203
453	3.6392973060583746
454	4.270481837931071
455	5.243175294106155
456	5.362318197227338
457	5.383751724211353
458	4.369855294043961
459	4.68769333957995
460	4.432641164989976
461	5.0988508249812226
462	4.819106544938566
463	5.183881652850283
464	5.56955601401472
465	5.7299181936311
466	5.592053499734721
467	5.034116648615126
468	4.955286719083586
469	4.9364455515163606
470	5.9700249192101325
471	5.918973246377813
472	5.7862018921820395
473	4.7962693240570795
474	5.9476120755988555
475	6.48402017719311
476	6.943095247968929
477	6.0077561303007085
478	5.508164800611433
479	5.058289962954672
480	5.352871339515623
481	5.190274071665878
482	5.092345392233344
483	4.288474178118348
484	4.594672006622002
485	4.4174800387377
486	6.248054869711176
487	6.740209136133509
488	6.820930301202611
489	5.798121073911101
490	5.491002484119552
491	6.178899459789622
492	5.502743960778908
493	4.9846281248748845
494	4.992638205730376
495	4.95871113396067
496	4.962005774918204
497	4.601629315199162
498	5.138853424130853
499	5.897483112713997
500	5.351764093916162
501	5.376498195603787
502	5.134938943763994
503	6.064809059540756
504	5.911809782080522
505	5.389074269648678
506	4.750080086746663
507	4.7260499397743
508	5.500250125380764
509	5.468641348985421
510	5.208647928554116
511	4.671754121215175
512	4.7663825623342095
513	4.291963356694789
514	4.789153652015025
515	4.498758336364539
516	4.321306635717154
517	4.632479677144353
518	4.972498422536787
519	5.185634017983262
520	4.365917342924296
521	4.441278984167007
522	4.848480689822478
523	4.906767707699262
524	4.505843012958089
525	5.207980837552523
526	5.448615439944789
527	6.339507785452002
528	6.195474884148704
529	6.078267257244803
530	5.656195574689723
531	5.7050683187071725
532	5.608512597161341
533	5.24275248444211
534	4.906312474297367
535	4.694818129050117
536	4.805749791172
537	4.367458119305131
538	4.23963152392816
539	4.2146035148084176
540	5.325572355619911
541	5.3269515094263395
542	5.369300621735238
543	5.284128212899351
544	5.612743284623636
545	6.225350098157013
546	5.389831879500284
547	5.416131736097715
548	5.2492940451361525
549	5.574802816386014
550	5.849645638395942
551	6.001152147831333
552	5.931322043114591
553	5.952009887892366
554	5.738486485700541
555	5.689572937416357
556	6.01608970760604
557	5.581406536075078
558	5.580892406910235
559	4.949676606477069
560	5.345079511916221
561	5.16505979625796
562	4.314419365839545
563	4.1255625424812505
564	3.2890700263997914
565	4.617521177409333
566	5.2145204305467105
567	6.379734175964846
568	5.550653206424118
569	5.177642261384945
570	5.52259300179541
571	5.70281608342231
572	5.501106267295193
573	4.521474215685355
574	4.860615061109731
575	5.321563697702526
576	5.424163449382679
577	5.11519560922815
578	4.398145643995954
579	4.95300139094038
580	5.059981093713916
581	5.451878469613707
582	4.648639073129087
583	4.39824905872707
584	4.06778743914105
585	4.765403822845434
586	5.409612943946304
587	5.3814635070481645
588	5.2770891062425305
589	5.04399728473904
590	5.4703704126147885
591	5.9345639494672255
592	6.260231585715004
593	5.837501949660111
594	5.227696716006096
595	4.823265167239273
596	4.794092053322832
597	5.248606140310373
598	5.31678521249374
599	5.713449763960473
600	4.712636072528709
601	4.532016481809202
602	5.66682270969076
603	6.382415918204221
604	6.6012684813218625
605	5.7028866619183445
606	5.698097500101789
607	5.291385536643934
608	4.843034333450308
609	4.977185168352476
610	5.588439214990129
611	6.1939422320911355
612	6.70284305832071
613	6.300497861924867
614	5.814083042388816
615	6.23129745875557
616	6.166538809970073
617	6.175664512617772
618	4.890965204758293
619	5.13385907825269
620	4.998199617299071
621	5.1002141314206595
622	5.981465762281853
623	6.484317997952933
624	6.312314472992636
625	5.086338652680346
626	4.8482430056132015
627	5.550077856161423
628	5.480314530104608
629	5.612394729959552
630	5.711685968250045
631	5.935546541400069
632	5.6648728213606665
633	4.90859307805186
634	4.875249347583929
635	5.4800039
636	6.481636733333338
637	6.84613656666667
638	5.938962333333335
639	5.278587999999998
640	4.899889666666666
641	5.798027833333329
642	5.63300333333333
643	5.7802934999999955
644	5.4902618999999975
645	5.832364900000004
646	5.899449233333338
647	5.304936000000008
648	5.662156333333335
649	6.22221433333334
650	7.6097100000000095
651	6.873226333333342
652	6.011313666666669
653	4.9613548
654	4.945489299999999
655	5.060979633333333
656	4.882384733333333
657	4.878378233333333
658	6.205372233333333
659	6.551977999999999
660	6.991837666666666
661	5.975400333333333
662	6.749127333333334
663	9.681906999999999
664	10.746810833333333
665	11.5655655
666	8.313905933333332
667	7.251091233333334
668	5.1422775666666665
669	7.646917466666667
670	8.070118533333334
671	12.248479533333333
672	10.732219866666668
673	10.430335
674	6.834846566666667
675	6.041627666666667
676	6.913117333333333
677	7.246278666666666
678	7.5799495666666665
679	10.1907699
680	13.174210333333335
681	13.541241333333334
682	10.4020658
683	6.628588700000001
684	6.0062747
685	5.719214133333334
686	6.3659274
687	5.978261633333333
688	5.145957466666666
689	5.0291198
690	5.3132569
691	5.348166833333333
692	5.368430833333334
693	6.305786166666667
694	7.123513366666667
695	7.603414533333333
696	6.705713633333333
697	6.317897533333333
698	5.238098333333333
699	4.885397133333334
700	5.877494366666666
701	7.868168233333333
702	8.278364533333333
703	7.537251333333333
704	5.437584666666667
705	6.7205521333333325
706	6.00833
707	6.714431333333333
708	5.183430666666666
709	5.6524358
710	5.916987466666666
711	6.298958966666667
712	6.177507600000001
713	7.2519736
